geopixel,osi_model_layer2_security_posture_assessment,osi_model_layer4_security_posture_assessment,osi_model_layer6_security_posture_assessment,ia_confidentiality_assessment,ia_integrity_assessment,ia_availability_assessment
0_0,0.7000000000000001,0.5,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
0_0,0.7000000000000001,0.8,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
0_0,0.7000000000000001,0.5,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
0_0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
0_0,0.7000000000000001,0.5,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
0_0,0.7000000000000001,0.8,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
0_0,0.7000000000000001,0.5,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
0_0,0.7000000000000001,0.5,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
90_423,0.7000000000000001,0.5,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
90_423,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
